bike_name,price,city,kms_driven,owner,age,power,brand
253,240000.0,44,11000.0,0,3.0,390.0,11
217,68000.0,118,16000.0,0,7.0,250.0,6
74,80000.0,44,26691.0,0,5.0,200.0,1
295,135000.0,44,45000.0,0,5.0,350.0,17
56,11100.0,330,12000.0,3,12.0,150.0,1
88,480000.0,282,14200.0,0,4.0,600.0,2
337,65000.0,404,41000.0,0,3.0,150.0,18
424,60000.0,44,15000.0,0,5.0,150.0,21
215,80000.0,44,12314.0,0,4.0,150.0,6
168,46000.0,118,11760.0,0,3.0,100.0,5
300,95000.0,44,22000.0,0,11.0,500.0,17
242,400000.0,118,1800.0,0,4.0,650.0,7
79,55000.0,44,4400.0,0,4.0,150.0,1
465,63000.0,118,16000.0,0,5.0,150.0,21
79,51000.0,140,9000.0,0,4.0,150.0,1
367,69900.0,118,8700.0,0,3.0,160.0,19
76,125000.0,163,1342.0,0,4.0,200.0,1
86,210000.0,243,21000.0,0,6.0,300.0,2
201,35900.0,118,19000.0,0,5.0,125.0,6
217,67000.0,118,13000.0,0,9.0,250.0,6
151,29339.0,137,12771.0,0,4.0,100.0,5
165,19695.0,137,51576.0,0,6.0,100.0,5
173,48672.0,137,608.0,0,2.0,110.0,5
215,40000.0,282,13680.0,0,9.0,150.0,6
461,500000.0,44,285.0,0,5.0,600.0,21
94,800000.0,282,3.0,0,3.0,1299.0,3
313,110000.0,44,24676.0,0,5.0,410.0,17
295,92500.0,118,11000.0,0,6.0,350.0,17
72,57000.0,44,28948.0,0,5.0,200.0,1
312,72500.0,118,10000.0,0,10.0,350.0,17
249,68000.0,118,16000.0,0,9.0,200.0,11
394,21500.0,50,10500.0,0,5.0,125.0,19
370,40000.0,118,20000.0,0,6.0,160.0,19
295,91000.0,118,18000.0,0,5.0,350.0,17
109,300000.0,156,3500.0,0,6.0,750.0,4
339,47000.0,191,70000.0,0,6.0,150.0,18
333,53000.0,44,18158.0,0,6.0,150.0,18
333,51000.0,44,39140.0,0,5.0,150.0,18
64,48000.0,44,27776.0,0,8.0,220.0,1
65,55000.0,44,32734.0,0,6.0,220.0,1
315,173300.0,423,14000.0,0,2.0,410.0,17
288,77000.0,118,13000.0,0,8.0,350.0,17
72,115000.0,44,5000.0,0,2.0,200.0,1
40,36000.0,185,39500.0,0,7.0,150.0,1
15,72000.0,185,29500.0,0,4.0,220.0,1
321,115000.0,185,14900.0,0,3.0,350.0,17
199,65000.0,282,2000.0,0,3.0,125.0,6
212,99000.0,282,4000.0,0,2.0,150.0,6
464,68500.0,118,68500.0,2,7.0,150.0,21
466,140000.0,118,2473.0,0,2.0,150.0,21
249,130000.0,118,9221.0,0,3.0,200.0,11
68,46000.0,118,37128.0,0,7.0,200.0,1
176,30000.0,118,16166.0,0,6.0,125.0,5
43,116000.0,118,11716.0,0,3.0,400.0,1
295,130000.0,118,8419.0,0,3.0,350.0,17
295,98000.0,118,13459.0,0,5.0,350.0,17
295,85000.0,118,14704.0,0,6.0,350.0,17
313,110000.0,44,24676.0,0,5.0,410.0,17
315,173300.0,423,14000.0,0,2.0,410.0,17
79,50000.0,118,9200.0,0,4.0,150.0,1
323,100000.0,44,30294.0,0,5.0,350.0,17
323,66000.0,118,19756.0,0,8.0,350.0,17
288,77000.0,118,13000.0,0,8.0,350.0,17
295,92500.0,118,11000.0,0,6.0,350.0,17
72,57000.0,44,28948.0,0,5.0,200.0,1
312,72500.0,118,10000.0,0,10.0,350.0,17
236,80000.0,243,12000.0,0,2.0,160.0,6
295,123600.0,191,7702.0,0,3.0,350.0,17
349,950000.0,100,312.0,0,3.0,1300.0,18
295,107000.0,6,17000.0,0,4.0,350.0,17
99,600000.0,44,16000.0,0,5.0,821.0,3
425,80000.0,118,3500.0,0,3.0,150.0,21
